index,language,metric,human,QWEN_25_7B,checkpoint-100_QWEN_25_7B
803,AR,Toxicity,1,2.0,1
803,AR,IdentityAttack,1,1.0,1
803,AR,Bias,1,1.0,1
803,AR,Microaggression,1,1.0,1
803,AR,Violence,1,1.0,1
803,AR,SelfHarm,1,1.0,1
803,AR,Insult,1,1.0,1
803,AR,SexualContent,1,1.0,1
990,AR,Toxicity,1,2.0,1
990,AR,IdentityAttack,1,2.0,1
990,AR,Bias,1,1.0,1
990,AR,Microaggression,1,1.0,1
990,AR,Violence,1,1.0,1
990,AR,SelfHarm,1,1.0,1
990,AR,Insult,1,1.0,1
990,AR,SexualContent,1,1.0,1
530,AR,Toxicity,3,5.0,5
530,AR,IdentityAttack,1,3.0,3
530,AR,Bias,1,3.0,3
530,AR,Microaggression,1,3.0,1
530,AR,Violence,3,3.0,1
530,AR,SelfHarm,1,1.0,1
530,AR,Insult,3,3.0,3
530,AR,SexualContent,3,3.0,3
326,AR,Toxicity,2,3.0,2
326,AR,IdentityAttack,1,2.0,1
326,AR,Bias,1,1.0,1
326,AR,Microaggression,1,1.0,1
326,AR,Violence,1,1.0,1
326,AR,SelfHarm,1,1.0,1
326,AR,Insult,3,2.0,2
326,AR,SexualContent,1,1.0,1
877,AR,Toxicity,1,1.0,1
877,AR,IdentityAttack,1,1.0,1
877,AR,Bias,1,1.0,1
877,AR,Microaggression,1,1.0,1
877,AR,Violence,1,1.0,1
877,AR,SelfHarm,1,1.0,1
877,AR,Insult,1,1.0,1
877,AR,SexualContent,1,1.0,1
674,AR,Toxicity,1,,3
674,AR,IdentityAttack,1,,1
674,AR,Bias,1,,1
674,AR,Microaggression,1,,1
674,AR,Violence,1,,1
674,AR,SelfHarm,1,,1
674,AR,Insult,1,,1
674,AR,SexualContent,1,,1
358,AR,Toxicity,2,3.0,2
358,AR,IdentityAttack,1,2.0,1
358,AR,Bias,1,3.0,1
358,AR,Microaggression,2,3.0,1
358,AR,Violence,1,1.0,1
358,AR,SelfHarm,1,1.0,1
358,AR,Insult,3,2.0,2
358,AR,SexualContent,1,1.0,1
772,AR,Toxicity,1,1.0,1
772,AR,IdentityAttack,1,1.0,1
772,AR,Bias,1,1.0,1
772,AR,Microaggression,1,1.0,1
772,AR,Violence,1,1.0,1
772,AR,SelfHarm,1,1.0,1
772,AR,Insult,1,1.0,1
772,AR,SexualContent,1,1.0,1
428,AR,Toxicity,3,5.0,3
428,AR,IdentityAttack,1,3.0,1
428,AR,Bias,1,3.0,1
428,AR,Microaggression,2,3.0,1
428,AR,Violence,1,3.0,1
428,AR,SelfHarm,1,1.0,1
428,AR,Insult,3,3.0,3
428,AR,SexualContent,3,3.0,3
785,AR,Toxicity,2,3.0,1
785,AR,IdentityAttack,1,3.0,1
785,AR,Bias,1,3.0,1
785,AR,Microaggression,1,3.0,1
785,AR,Violence,1,1.0,1
785,AR,SelfHarm,1,1.0,1
785,AR,Insult,1,3.0,1
785,AR,SexualContent,1,1.0,1
336,AR,Toxicity,4,5.0,5
336,AR,IdentityAttack,3,3.0,3
336,AR,Bias,1,3.0,3
336,AR,Microaggression,3,3.0,1
336,AR,Violence,3,3.0,3
336,AR,SelfHarm,1,1.0,1
336,AR,Insult,3,3.0,3
336,AR,SexualContent,1,1.0,1
543,AR,Toxicity,2,2.0,3
543,AR,IdentityAttack,1,1.0,1
543,AR,Bias,1,2.0,1
543,AR,Microaggression,1,1.0,1
543,AR,Violence,1,1.0,1
543,AR,SelfHarm,1,1.0,1
543,AR,Insult,3,1.0,1
543,AR,SexualContent,1,1.0,1
260,AR,Toxicity,2,,2
260,AR,IdentityAttack,1,,1
260,AR,Bias,1,,1
260,AR,Microaggression,1,,1
260,AR,Violence,1,,1
260,AR,SelfHarm,1,,1
260,AR,Insult,3,,2
260,AR,SexualContent,1,,1
411,AR,Toxicity,4,5.0,3
411,AR,IdentityAttack,2,3.0,3
411,AR,Bias,3,3.0,3
411,AR,Microaggression,1,3.0,1
411,AR,Violence,1,1.0,1
411,AR,SelfHarm,1,1.0,1
411,AR,Insult,3,3.0,3
411,AR,SexualContent,1,1.0,1
394,AR,Toxicity,3,,3
394,AR,IdentityAttack,1,,1
394,AR,Bias,1,,1
394,AR,Microaggression,1,,1
394,AR,Violence,1,,1
394,AR,SelfHarm,1,,1
394,AR,Insult,3,,3
394,AR,SexualContent,1,,1
439,AR,Toxicity,3,5.0,3
439,AR,IdentityAttack,1,1.0,1
439,AR,Bias,1,1.0,1
439,AR,Microaggression,1,1.0,1
439,AR,Violence,1,1.0,1
439,AR,SelfHarm,1,1.0,1
439,AR,Insult,3,1.0,1
439,AR,SexualContent,3,3.0,3
384,AR,Toxicity,2,2.0,2
384,AR,IdentityAttack,1,2.0,1
384,AR,Bias,1,2.0,1
384,AR,Microaggression,1,1.0,1
384,AR,Violence,1,1.0,1
384,AR,SelfHarm,1,1.0,1
384,AR,Insult,3,2.0,2
384,AR,SexualContent,1,1.0,1
246,AR,Toxicity,3,3.0,3
246,AR,IdentityAttack,1,3.0,1
246,AR,Bias,3,3.0,1
246,AR,Microaggression,2,3.0,1
246,AR,Violence,1,3.0,1
246,AR,SelfHarm,1,1.0,1
246,AR,Insult,3,3.0,3
246,AR,SexualContent,1,1.0,1
873,AR,Toxicity,4,,1
873,AR,IdentityAttack,1,,1
873,AR,Bias,1,,1
873,AR,Microaggression,1,,1
873,AR,Violence,1,,1
873,AR,SelfHarm,1,,1
873,AR,Insult,1,,1
873,AR,SexualContent,1,,1
8,AR,Toxicity,2,,3
8,AR,IdentityAttack,1,,1
8,AR,Bias,2,,1
8,AR,Microaggression,1,,1
8,AR,Violence,1,,1
8,AR,SelfHarm,2,,1
8,AR,Insult,3,,3
8,AR,SexualContent,1,,1
307,AR,Toxicity,2,3.0,2
307,AR,IdentityAttack,1,2.0,1
307,AR,Bias,1,2.0,1
307,AR,Microaggression,2,2.0,1
307,AR,Violence,1,1.0,1
307,AR,SelfHarm,1,1.0,1
307,AR,Insult,3,2.0,2
307,AR,SexualContent,1,1.0,1
515,AR,Toxicity,4,3.0,3
515,AR,IdentityAttack,1,3.0,1
515,AR,Bias,1,3.0,1
515,AR,Microaggression,1,3.0,1
515,AR,Violence,1,1.0,1
515,AR,SelfHarm,1,1.0,1
515,AR,Insult,3,3.0,3
515,AR,SexualContent,3,1.0,1
89,AR,Toxicity,4,3.0,3
89,AR,IdentityAttack,2,2.0,1
89,AR,Bias,1,1.0,1
89,AR,Microaggression,1,1.0,1
89,AR,Violence,1,2.0,1
89,AR,SelfHarm,1,1.0,1
89,AR,Insult,3,1.0,1
89,AR,SexualContent,3,3.0,3
957,AR,Toxicity,3,5.0,3
957,AR,IdentityAttack,3,3.0,1
957,AR,Bias,3,3.0,1
957,AR,Microaggression,1,3.0,1
957,AR,Violence,1,3.0,1
957,AR,SelfHarm,1,1.0,1
957,AR,Insult,1,3.0,3
957,AR,SexualContent,1,1.0,1
961,BCMS,Toxicity,1,1.0,1
961,BCMS,IdentityAttack,1,1.0,1
961,BCMS,Bias,1,1.0,1
961,BCMS,Microaggression,1,1.0,1
961,BCMS,Violence,1,1.0,1
961,BCMS,SelfHarm,1,1.0,1
961,BCMS,Insult,1,1.0,1
961,BCMS,SexualContent,1,1.0,1
650,BCMS,Toxicity,2,2.0,1
650,BCMS,IdentityAttack,2,1.0,1
650,BCMS,Bias,1,1.0,1
650,BCMS,Microaggression,1,1.0,1
650,BCMS,Violence,1,1.0,1
650,BCMS,SelfHarm,1,1.0,1
650,BCMS,Insult,1,1.0,1
650,BCMS,SexualContent,1,1.0,1
399,BCMS,Toxicity,3,3.0,3
399,BCMS,IdentityAttack,3,3.0,3
399,BCMS,Bias,3,3.0,3
399,BCMS,Microaggression,1,3.0,1
399,BCMS,Violence,1,1.0,1
399,BCMS,SelfHarm,1,1.0,1
399,BCMS,Insult,3,3.0,3
399,BCMS,SexualContent,1,1.0,1
563,BCMS,Toxicity,5,5.0,3
563,BCMS,IdentityAttack,2,3.0,3
563,BCMS,Bias,3,3.0,3
563,BCMS,Microaggression,1,3.0,1
563,BCMS,Violence,3,3.0,1
563,BCMS,SelfHarm,1,1.0,1
563,BCMS,Insult,2,3.0,3
563,BCMS,SexualContent,1,1.0,1
612,BCMS,Toxicity,3,5.0,3
612,BCMS,IdentityAttack,2,3.0,1
612,BCMS,Bias,1,3.0,1
612,BCMS,Microaggression,1,3.0,1
612,BCMS,Violence,2,3.0,1
612,BCMS,SelfHarm,1,1.0,1
612,BCMS,Insult,3,3.0,3
612,BCMS,SexualContent,1,1.0,1
265,BCMS,Toxicity,1,2.0,3
265,BCMS,IdentityAttack,1,2.0,1
265,BCMS,Bias,1,2.0,1
265,BCMS,Microaggression,1,2.0,1
265,BCMS,Violence,1,2.0,1
265,BCMS,SelfHarm,1,1.0,1
265,BCMS,Insult,1,2.0,3
265,BCMS,SexualContent,1,1.0,1
726,BCMS,Toxicity,3,3.0,3
726,BCMS,IdentityAttack,3,3.0,1
726,BCMS,Bias,2,3.0,1
726,BCMS,Microaggression,1,3.0,1
726,BCMS,Violence,3,3.0,1
726,BCMS,SelfHarm,1,1.0,1
726,BCMS,Insult,2,3.0,3
726,BCMS,SexualContent,1,1.0,1
737,BCMS,Toxicity,2,2.0,3
737,BCMS,IdentityAttack,1,2.0,1
737,BCMS,Bias,1,2.0,1
737,BCMS,Microaggression,1,2.0,1
737,BCMS,Violence,1,2.0,1
737,BCMS,SelfHarm,1,1.0,1
737,BCMS,Insult,2,2.0,3
737,BCMS,SexualContent,1,1.0,1
590,BCMS,Toxicity,4,5.0,5
590,BCMS,IdentityAttack,3,3.0,3
590,BCMS,Bias,3,3.0,3
590,BCMS,Microaggression,1,3.0,1
590,BCMS,Violence,2,3.0,1
590,BCMS,SelfHarm,1,1.0,1
590,BCMS,Insult,3,3.0,3
590,BCMS,SexualContent,1,1.0,1
374,BCMS,Toxicity,4,5.0,5
374,BCMS,IdentityAttack,1,3.0,3
374,BCMS,Bias,1,3.0,3
374,BCMS,Microaggression,1,3.0,1
374,BCMS,Violence,3,3.0,3
374,BCMS,SelfHarm,1,3.0,1
374,BCMS,Insult,3,3.0,3
374,BCMS,SexualContent,1,1.0,1
314,BCMS,Toxicity,1,2.0,2
314,BCMS,IdentityAttack,1,2.0,1
314,BCMS,Bias,1,2.0,1
314,BCMS,Microaggression,1,2.0,1
314,BCMS,Violence,1,1.0,1
314,BCMS,SelfHarm,1,1.0,1
314,BCMS,Insult,2,2.0,2
314,BCMS,SexualContent,1,1.0,1
373,BCMS,Toxicity,4,2.0,3
373,BCMS,IdentityAttack,3,2.0,1
373,BCMS,Bias,3,2.0,1
373,BCMS,Microaggression,1,2.0,1
373,BCMS,Violence,1,1.0,1
373,BCMS,SelfHarm,1,1.0,1
373,BCMS,Insult,3,2.0,3
373,BCMS,SexualContent,3,1.0,1
589,BCMS,Toxicity,2,2.0,1
589,BCMS,IdentityAttack,1,2.0,1
589,BCMS,Bias,1,1.0,1
589,BCMS,Microaggression,1,1.0,1
589,BCMS,Violence,1,1.0,1
589,BCMS,SelfHarm,1,1.0,1
589,BCMS,Insult,2,1.0,1
589,BCMS,SexualContent,1,1.0,1
76,BCMS,Toxicity,5,5.0,5
76,BCMS,IdentityAttack,2,3.0,3
76,BCMS,Bias,2,3.0,3
76,BCMS,Microaggression,1,3.0,1
76,BCMS,Violence,3,3.0,3
76,BCMS,SelfHarm,1,1.0,1
76,BCMS,Insult,3,3.0,3
76,BCMS,SexualContent,1,1.0,1
814,BCMS,Toxicity,2,3.0,1
814,BCMS,IdentityAttack,2,2.0,1
814,BCMS,Bias,2,1.0,1
814,BCMS,Microaggression,1,1.0,1
814,BCMS,Violence,1,1.0,1
814,BCMS,SelfHarm,1,1.0,1
814,BCMS,Insult,2,1.0,1
814,BCMS,SexualContent,1,1.0,1
577,BCMS,Toxicity,2,3.0,1
577,BCMS,IdentityAttack,2,2.0,1
577,BCMS,Bias,1,2.0,1
