index,language,metric,human,QWEN_25_7B,checkpoint-100_QWEN_25_7B,checkpoint-200_QWEN_25_7B,checkpoint-300_QWEN_25_7B,checkpoint-400_QWEN_25_7B,checkpoint-500_QWEN_25_7B,checkpoint-1000_QWEN_25_7B
1037,AR,Toxicity,3,5.0,,,,,,5
1037,AR,IdentityAttack,1,3.0,,,,,,1
1037,AR,Bias,3,3.0,,,,,,1
1037,AR,Microaggression,3,1.0,,,,,,1
1037,AR,Violence,3,3.0,,,,,,3
1037,AR,SelfHarm,1,1.0,,,,,,1
1037,AR,Insult,1,3.0,,,,,,3
1037,AR,SexualContent,1,1.0,,,,,,1
533,AR,Toxicity,5,5.0,,,,,,5
533,AR,IdentityAttack,3,3.0,,,,,,3
533,AR,Bias,3,3.0,,,,,,3
533,AR,Microaggression,1,1.0,,,,,,3
533,AR,Violence,3,3.0,,,,,,3
533,AR,SelfHarm,3,1.0,,,,,,1
533,AR,Insult,1,1.0,,,,,,3
533,AR,SexualContent,1,1.0,,,,,,1
688,AR,Toxicity,1,1.0,,,,,,1
688,AR,IdentityAttack,1,1.0,,,,,,1
688,AR,Bias,1,1.0,,,,,,1
688,AR,Microaggression,1,1.0,,,,,,1
688,AR,Violence,1,1.0,,,,,,1
688,AR,SelfHarm,1,1.0,,,,,,1
688,AR,Insult,1,1.0,,,,,,1
688,AR,SexualContent,1,1.0,,,,,,1
356,AR,Toxicity,1,1.0,,,,,,1
356,AR,IdentityAttack,1,1.0,,,,,,1
356,AR,Bias,1,1.0,,,,,,1
356,AR,Microaggression,1,1.0,,,,,,1
356,AR,Violence,1,1.0,,,,,,1
356,AR,SelfHarm,1,1.0,,,,,,1
356,AR,Insult,1,1.0,,,,,,1
356,AR,SexualContent,1,1.0,,,,,,1
478,AR,Toxicity,3,,,,,,,3
478,AR,IdentityAttack,1,,,,,,,1
478,AR,Bias,3,,,,,,,1
478,AR,Microaggression,1,,,,,,,1
478,AR,Violence,1,,,,,,,1
478,AR,SelfHarm,1,,,,,,,1
478,AR,Insult,1,,,,,,,3
478,AR,SexualContent,1,,,,,,,1
202,AR,Toxicity,2,2.0,,,,,,3
202,AR,IdentityAttack,1,1.0,,,,,,1
202,AR,Bias,1,2.0,,,,,,1
202,AR,Microaggression,3,1.0,,,,,,1
202,AR,Violence,1,1.0,,,,,,1
202,AR,SelfHarm,1,1.0,,,,,,1
202,AR,Insult,3,1.0,,,,,,3
202,AR,SexualContent,1,1.0,,,,,,3
198,AR,Toxicity,4,5.0,,,,,,5
198,AR,IdentityAttack,1,3.0,,,,,,1
198,AR,Bias,1,3.0,,,,,,1
198,AR,Microaggression,2,3.0,,,,,,1
198,AR,Violence,1,3.0,,,,,,1
198,AR,SelfHarm,1,3.0,,,,,,1
198,AR,Insult,3,3.0,,,,,,3
198,AR,SexualContent,3,3.0,,,,,,3
167,AR,Toxicity,5,5.0,,,,,,5
167,AR,IdentityAttack,3,3.0,,,,,,1
167,AR,Bias,3,3.0,,,,,,1
167,AR,Microaggression,1,1.0,,,,,,1
167,AR,Violence,3,3.0,,,,,,3
167,AR,SelfHarm,1,1.0,,,,,,3
167,AR,Insult,3,3.0,,,,,,3
167,AR,SexualContent,1,1.0,,,,,,1
590,AR,Toxicity,4,2.0,,,,,,4
590,AR,IdentityAttack,1,2.0,,,,,,1
590,AR,Bias,1,2.0,,,,,,1
590,AR,Microaggression,1,2.0,,,,,,1
590,AR,Violence,1,1.0,,,,,,1
590,AR,SelfHarm,1,1.0,,,,,,1
590,AR,Insult,3,2.0,,,,,,3
590,AR,SexualContent,3,1.0,,,,,,3
542,AR,Toxicity,4,3.0,,,,,,3
542,AR,IdentityAttack,1,3.0,,,,,,1
542,AR,Bias,3,3.0,,,,,,1
542,AR,Microaggression,1,3.0,,,,,,1
542,AR,Violence,1,1.0,,,,,,1
542,AR,SelfHarm,1,1.0,,,,,,1
542,AR,Insult,3,3.0,,,,,,3
542,AR,SexualContent,1,1.0,,,,,,1
1002,AR,Toxicity,3,,,,,,,3
1002,AR,IdentityAttack,1,,,,,,,1
1002,AR,Bias,1,,,,,,,1
1002,AR,Microaggression,1,,,,,,,1
1002,AR,Violence,1,,,,,,,1
1002,AR,SelfHarm,1,,,,,,,1
1002,AR,Insult,3,,,,,,,3
1002,AR,SexualContent,3,,,,,,,3
803,AR,Toxicity,1,2.0,1.0,,1.0,1.0,1.0,1
803,AR,IdentityAttack,1,1.0,1.0,,1.0,1.0,1.0,1
803,AR,Bias,1,1.0,1.0,,1.0,1.0,1.0,1
803,AR,Microaggression,1,1.0,1.0,,1.0,1.0,1.0,1
803,AR,Violence,1,1.0,1.0,,1.0,1.0,1.0,1
803,AR,SelfHarm,1,1.0,1.0,,1.0,1.0,1.0,1
803,AR,Insult,1,1.0,1.0,,1.0,1.0,1.0,1
803,AR,SexualContent,1,1.0,1.0,,1.0,1.0,1.0,1
49,AR,Toxicity,5,3.0,,,,,,5
49,AR,IdentityAttack,3,3.0,,,,,,1
49,AR,Bias,3,3.0,,,,,,1
49,AR,Microaggression,1,3.0,,,,,,1
49,AR,Violence,2,1.0,,,,,,1
49,AR,SelfHarm,1,1.0,,,,,,1
49,AR,Insult,3,3.0,,,,,,3
49,AR,SexualContent,1,1.0,,,,,,3
212,AR,Toxicity,4,3.0,,,,,,3
212,AR,IdentityAttack,3,3.0,,,,,,1
212,AR,Bias,3,3.0,,,,,,1
212,AR,Microaggression,3,3.0,,,,,,1
212,AR,Violence,1,1.0,,,,,,1
212,AR,SelfHarm,1,1.0,,,,,,1
212,AR,Insult,3,2.0,,,,,,3
212,AR,SexualContent,1,1.0,,,,,,1
472,AR,Toxicity,3,5.0,,,,,,5
472,AR,IdentityAttack,1,3.0,,,,,,1
472,AR,Bias,1,3.0,,,,,,1
472,AR,Microaggression,1,3.0,,,,,,1
472,AR,Violence,2,3.0,,,,,,3
472,AR,SelfHarm,1,1.0,,,,,,1
472,AR,Insult,3,3.0,,,,,,3
472,AR,SexualContent,3,3.0,,,,,,3
859,AR,Toxicity,1,1.0,,,,,,1
859,AR,IdentityAttack,1,1.0,,,,,,1
859,AR,Bias,1,1.0,,,,,,1
859,AR,Microaggression,1,1.0,,,,,,1
859,AR,Violence,1,1.0,,,,,,1
859,AR,SelfHarm,1,1.0,,,,,,1
859,AR,Insult,1,1.0,,,,,,1
859,AR,SexualContent,1,1.0,,,,,,1
736,AR,Toxicity,1,3.0,,,,,,3
736,AR,IdentityAttack,1,3.0,,,,,,2
736,AR,Bias,1,3.0,,,,,,1
736,AR,Microaggression,1,3.0,,,,,,3
736,AR,Violence,1,3.0,,,,,,1
736,AR,SelfHarm,1,1.0,,,,,,1
736,AR,Insult,1,3.0,,,,,,3
736,AR,SexualContent,1,1.0,,,,,,1
603,AR,Toxicity,3,5.0,,,,,,3
603,AR,IdentityAttack,3,3.0,,,,,,1
603,AR,Bias,3,3.0,,,,,,1
603,AR,Microaggression,2,3.0,,,,,,1
603,AR,Violence,1,1.0,,,,,,1
603,AR,SelfHarm,1,1.0,,,,,,1
603,AR,Insult,3,3.0,,,,,,3
603,AR,SexualContent,1,1.0,,,,,,1
60,AR,Toxicity,2,,,,,,,3
60,AR,IdentityAttack,1,,,,,,,1
60,AR,Bias,1,,,,,,,1
60,AR,Microaggression,1,,,,,,,1
60,AR,Violence,1,,,,,,,1
60,AR,SelfHarm,1,,,,,,,1
60,AR,Insult,3,,,,,,,3
60,AR,SexualContent,1,,,,,,,1
549,AR,Toxicity,4,5.0,,,,,,5
549,AR,IdentityAttack,1,1.0,,,,,,1
549,AR,Bias,1,1.0,,,,,,1
549,AR,Microaggression,1,1.0,,,,,,1
549,AR,Violence,3,3.0,,,,,,3
549,AR,SelfHarm,3,1.0,,,,,,3
549,AR,Insult,1,1.0,,,,,,1
549,AR,SexualContent,3,1.0,,,,,,3
119,AR,Toxicity,2,,,,,,,3
119,AR,IdentityAttack,1,,,,,,,1
119,AR,Bias,1,,,,,,,1
119,AR,Microaggression,1,,,,,,,1
119,AR,Violence,1,,,,,,,1
119,AR,SelfHarm,1,,,,,,,1
119,AR,Insult,3,,,,,,,3
119,AR,SexualContent,1,,,,,,,1
1047,AR,Toxicity,1,3.0,,,,,,1
1047,AR,IdentityAttack,1,3.0,,,,,,1
1047,AR,Bias,1,3.0,,,,,,1
1047,AR,Microaggression,1,1.0,,,,,,1
1047,AR,Violence,1,1.0,,,,,,1
1047,AR,SelfHarm,1,1.0,,,,,,1
1047,AR,Insult,1,1.0,,,,,,1
1047,AR,SexualContent,1,1.0,,,,,,1
616,AR,Toxicity,1,2.0,,,,,,1
616,AR,IdentityAttack,1,2.0,,,,,,1
616,AR,Bias,1,2.0,,,,,,1
616,AR,Microaggression,1,2.0,,,,,,1
616,AR,Violence,1,1.0,,,,,,1
616,AR,SelfHarm,1,1.0,,,,,,1
616,AR,Insult,1,2.0,,,,,,1
616,AR,SexualContent,1,1.0,,,,,,1
303,AR,Toxicity,1,3.0,,,,,,2
303,AR,IdentityAttack,1,2.0,,,,,,1
303,AR,Bias,1,2.0,,,,,,1
303,AR,Microaggression,1,2.0,,,,,,1
303,AR,Violence,1,1.0,,,,,,1
303,AR,SelfHarm,1,1.0,,,,,,1
303,AR,Insult,1,2.0,,,,,,3
303,AR,SexualContent,1,1.0,,,,,,1
172,AR,Toxicity,4,2.0,,,,,,2
172,AR,IdentityAttack,1,2.0,,,,,,1
172,AR,Bias,3,2.0,,,,,,1
172,AR,Microaggression,3,2.0,,,,,,1
172,AR,Violence,1,1.0,,,,,,1
172,AR,SelfHarm,1,1.0,,,,,,1
172,AR,Insult,3,1.0,,,,,,3
172,AR,SexualContent,1,2.0,,,,,,1
990,AR,Toxicity,1,2.0,1.0,1.0,1.0,1.0,1.0,1
990,AR,IdentityAttack,1,2.0,1.0,1.0,1.0,1.0,1.0,1
990,AR,Bias,1,1.0,1.0,1.0,1.0,1.0,1.0,1
990,AR,Microaggression,1,1.0,1.0,1.0,1.0,1.0,1.0,1
990,AR,Violence,1,1.0,1.0,1.0,1.0,1.0,1.0,1
990,AR,SelfHarm,1,1.0,1.0,1.0,1.0,1.0,1.0,1
990,AR,Insult,1,1.0,1.0,1.0,1.0,1.0,1.0,1
990,AR,SexualContent,1,1.0,1.0,1.0,1.0,1.0,1.0,1
530,AR,Toxicity,3,5.0,5.0,5.0,3.0,3.0,3.0,3
530,AR,IdentityAttack,1,3.0,3.0,3.0,1.0,1.0,1.0,1
530,AR,Bias,1,3.0,3.0,3.0,1.0,1.0,1.0,1
530,AR,Microaggression,1,3.0,1.0,1.0,1.0,1.0,1.0,1
530,AR,Violence,3,3.0,1.0,1.0,1.0,1.0,1.0,1
530,AR,SelfHarm,1,1.0,1.0,1.0,1.0,1.0,1.0,1
530,AR,Insult,3,3.0,3.0,3.0,3.0,3.0,3.0,3
530,AR,SexualContent,3,3.0,3.0,3.0,1.0,1.0,1.0,1
1029,AR,Toxicity,1,3.0,,,,,,3
1029,AR,IdentityAttack,3,3.0,,,,,,3
1029,AR,Bias,1,3.0,,,,,,3
1029,AR,Microaggression,1,3.0,,,,,,1
1029,AR,Violence,1,1.0,,,,,,1
1029,AR,SelfHarm,1,1.0,,,,,,1
1029,AR,Insult,1,1.0,,,,,,1
1029,AR,SexualContent,1,1.0,,,,,,1
295,AR,Toxicity,3,5.0,,,,,,3
295,AR,IdentityAttack,1,3.0,,,,,,1
295,AR,Bias,2,3.0,,,,,,1
295,AR,Microaggression,3,3.0,,,,,,3
295,AR,Violence,1,3.0,,,,,,3
295,AR,SelfHarm,1,1.0,,,,,,1
295,AR,Insult,3,3.0,,,,,,3
295,AR,SexualContent,1,1.0,,,,,,1
11,AR,Toxicity,2,3.0,,,,,,3
11,AR,IdentityAttack,1,3.0,,,,,,1
11,AR,Bias,1,3.0,,,,,,1
11,AR,Microaggression,2,3.0,,,,,,3
11,AR,Violence,1,1.0,,,,,,1
11,AR,SelfHarm,1,1.0,,,,,,1
11,AR,Insult,3,3.0,,,,,,3
11,AR,SexualContent,1,1.0,,,,,,1
882,AR,Toxicity,3,3.0,,,,,,3
882,AR,IdentityAttack,1,3.0,,,,,,1
882,AR,Bias,1,3.0,,,,,,1
882,AR,Microaggression,2,3.0,,,,,,1
882,AR,Violence,1,1.0,,,,,,1
882,AR,SelfHarm,1,1.0,,,,,,1
882,AR,Insult,3,2.0,,,,,,3
882,AR,SexualContent,3,1.0,,,,,,1
617,AR,Toxicity,2,2.0,,,,,,3
617,AR,IdentityAttack,1,2.0,,,,,,1
617,AR,Bias,1,2.0,,,,,,1
617,AR,Microaggression,3,2.0,,,,,,1
617,AR,Violence,1,1.0,,,,,,1
617,AR,SelfHarm,1,1.0,,,,,,1
617,AR,Insult,3,2.0,,,,,,3
617,AR,SexualContent,1,1.0,,,,,,1
326,AR,Toxicity,2,3.0,2.0,2.0,2.0,2.0,2.0,2
326,AR,IdentityAttack,1,2.0,1.0,1.0,1.0,1.0,1.0,1
326,AR,Bias,1,1.0,1.0,1.0,1.0,1.0,1.0,1
326,AR,Microaggression,1,1.0,1.0,1.0,1.0,1.0,1.0,1
326,AR,Violence,1,1.0,1.0,1.0,1.0,1.0,1.0,1
326,AR,SelfHarm,1,1.0,1.0,1.0,1.0,1.0,1.0,1
326,AR,Insult,3,2.0,2.0,2.0,2.0,2.0,2.0,3
326,AR,SexualContent,1,1.0,1.0,1.0,1.0,1.0,1.0,1
329,AR,Toxicity,2,2.0,,,3.0,3.0,,3
329,AR,IdentityAttack,1,2.0,,,1.0,1.0,,1
329,AR,Bias,1,1.0,,,1.0,1.0,,1
329,AR,Microaggression,1,1.0,,,1.0,1.0,,1
329,AR,Violence,1,1.0,,,1.0,1.0,,1
329,AR,SelfHarm,1,1.0,,,1.0,1.0,,1
329,AR,Insult,3,2.0,,,3.0,3.0,,3
329,AR,SexualContent,1,1.0,,,1.0,1.0,,1
805,AR,Toxicity,1,1.0,,,,,,1
805,AR,IdentityAttack,1,1.0,,,,,,1
805,AR,Bias,1,1.0,,,,,,1
805,AR,Microaggression,1,1.0,,,,,,1
805,AR,Violence,1,1.0,,,,,,1
805,AR,SelfHarm,1,1.0,,,,,,1
805,AR,Insult,1,1.0,,,,,,1
805,AR,SexualContent,1,1.0,,,,,,1
209,AR,Toxicity,5,3.0,,,,,,3
209,AR,IdentityAttack,1,3.0,,,,,,1
209,AR,Bias,3,3.0,,,,,,1
209,AR,Microaggression,3,3.0,,,,,,1
209,AR,Violence,1,1.0,,,,,,1
209,AR,SelfHarm,1,1.0,,,,,,1
209,AR,Insult,3,3.0,,,,,,3
209,AR,SexualContent,1,1.0,,,,,,1
626,AR,Toxicity,1,1.0,,,,,,1
626,AR,IdentityAttack,1,1.0,,,,,,1
626,AR,Bias,1,1.0,,,,,,1
626,AR,Microaggression,1,1.0,,,,,,1
626,AR,Violence,1,1.0,,,,,,1
626,AR,SelfHarm,1,1.0,,,,,,1
626,AR,Insult,1,1.0,,,,,,1
626,AR,SexualContent,1,1.0,,,,,,1
313,AR,Toxicity,3,,,,,,,3
313,AR,IdentityAttack,1,,,,,,,1
313,AR,Bias,1,,,,,,,1
313,AR,Microaggression,3,,,,,,,1
313,AR,Violence,1,,,,,,,1
313,AR,SelfHarm,1,,,,,,,1
313,AR,Insult,3,,,,,,,3
313,AR,SexualContent,1,,,,,,,1
749,AR,Toxicity,2,2.0,,,,,,2
749,AR,IdentityAttack,1,2.0,,,,,,1
749,AR,Bias,1,1.0,,,,,,1
749,AR,Microaggression,1,1.0,,,,,,1
749,AR,Violence,3,1.0,,,,,,1
749,AR,SelfHarm,1,1.0,,,,,,1
749,AR,Insult,1,1.0,,,,,,1
749,AR,SexualContent,1,1.0,,,,,,1
306,AR,Toxicity,2,,,,,,,3
306,AR,IdentityAttack,1,,,,,,,1
306,AR,Bias,1,,,,,,,1
306,AR,Microaggression,3,,,,,,,1
306,AR,Violence,1,,,,,,,1
306,AR,SelfHarm,1,,,,,,,1
306,AR,Insult,3,,,,,,,3
306,AR,SexualContent,1,,,,,,,1
548,AR,Toxicity,3,,,,,,,3
548,AR,IdentityAttack,2,,,,,,,1
548,AR,Bias,1,,,,,,,1
548,AR,Microaggression,1,,,,,,,1
548,AR,Violence,1,,,,,,,1
548,AR,SelfHarm,1,,,,,,,1
548,AR,Insult,3,,,,,,,3
548,AR,SexualContent,3,,,,,,,3
877,AR,Toxicity,1,1.0,1.0,,,1.0,1.0,1
877,AR,IdentityAttack,1,1.0,1.0,,,1.0,1.0,1
877,AR,Bias,1,1.0,1.0,,,1.0,1.0,1
877,AR,Microaggression,1,1.0,1.0,,,1.0,1.0,1
877,AR,Violence,1,1.0,1.0,,,1.0,1.0,1
877,AR,SelfHarm,1,1.0,1.0,,,1.0,1.0,1
877,AR,Insult,1,1.0,1.0,,,1.0,1.0,1
877,AR,SexualContent,1,1.0,1.0,,,1.0,1.0,1
775,AR,Toxicity,3,3.0,,,,,,3
775,AR,IdentityAttack,1,2.0,,,,,,1
775,AR,Bias,1,1.0,,,,,,1
775,AR,Microaggression,1,1.0,,,,,,1
775,AR,Violence,2,3.0,,,,,,3
775,AR,SelfHarm,1,1.0,,,,,,1
775,AR,Insult,1,1.0,,,,,,1
775,AR,SexualContent,1,1.0,,,,,,1
951,AR,Toxicity,2,,,,,,,1
951,AR,IdentityAttack,1,,,,,,,1
951,AR,Bias,1,,,,,,,1
951,AR,Microaggression,1,,,,,,,1
951,AR,Violence,1,,,,,,,1
951,AR,SelfHarm,1,,,,,,,1
951,AR,Insult,1,,,,,,,1
951,AR,SexualContent,1,,,,,,,1
658,AR,Toxicity,1,1.0,,,,,,1
658,AR,IdentityAttack,1,1.0,,,,,,1
658,AR,Bias,1,1.0,,,,,,1
658,AR,Microaggression,1,1.0,,,,,,1
658,AR,Violence,1,1.0,,,,,,1
658,AR,SelfHarm,1,1.0,,,,,,1
658,AR,Insult,1,1.0,,,,,,1
658,AR,SexualContent,1,1.0,,,,,,1
887,AR,Toxicity,1,1.0,,,,,,1
887,AR,IdentityAttack,1,1.0,,,,,,1
887,AR,Bias,1,1.0,,,,,,1
887,AR,Microaggression,1,1.0,,,,,,1
887,AR,Violence,1,1.0,,,,,,1
887,AR,SelfHarm,1,1.0,,,,,,1
887,AR,Insult,1,1.0,,,,,,1
887,AR,SexualContent,1,1.0,,,,,,1
442,AR,Toxicity,3,5.0,,,,,,3
442,AR,IdentityAttack,1,3.0,,,,,,1
442,AR,Bias,1,3.0,,,,,,1
442,AR,Microaggression,1,3.0,,,,,,3
442,AR,Violence,1,1.0,,,,,,1
442,AR,SelfHarm,1,1.0,,,,,,1
442,AR,Insult,3,3.0,,,,,,3
442,AR,SexualContent,3,1.0,,,,,,1
485,AR,Toxicity,3,,,,,,,3
485,AR,IdentityAttack,1,,,,,,,1
485,AR,Bias,1,,,,,,,1
485,AR,Microaggression,1,,,,,,,1
485,AR,Violence,1,,,,,,,1
485,AR,SelfHarm,1,,,,,,,1
485,AR,Insult,3,,,,,,,3
485,AR,SexualContent,3,,,,,,,1
294,AR,Toxicity,2,2.0,,,,,,2
294,AR,IdentityAttack,1,2.0,,,,,,1
294,AR,Bias,3,2.0,,,,,,1
294,AR,Microaggression,1,2.0,,,,,,1
294,AR,Violence,1,1.0,,,,,,1
294,AR,SelfHarm,1,1.0,,,,,,1
294,AR,Insult,3,2.0,,,,,,3
294,AR,SexualContent,1,1.0,,,,,,1
550,AR,Toxicity,4,5.0,,,,,,5
550,AR,IdentityAttack,3,3.0,,,,,,3
550,AR,Bias,3,3.0,,,,,,3
550,AR,Microaggression,1,3.0,,,,,,1
550,AR,Violence,1,1.0,,,,,,1
550,AR,SelfHarm,1,1.0,,,,,,1
550,AR,Insult,3,3.0,,,,,,3
550,AR,SexualContent,1,1.0,,,,,,1
174,AR,Toxicity,5,5.0,,,,,,3
174,AR,IdentityAttack,1,3.0,,,,,,1
174,AR,Bias,3,3.0,,,,,,1
174,AR,Microaggression,3,3.0,,,,,,1
174,AR,Violence,1,3.0,,,,,,1
174,AR,SelfHarm,1,1.0,,,,,,1
174,AR,Insult,3,3.0,,,,,,3
174,AR,SexualContent,3,3.0,,,,,,3
674,AR,Toxicity,1,,3.0,,,,,1
674,AR,IdentityAttack,1,,1.0,,,,,1
674,AR,Bias,1,,1.0,,,,,1
674,AR,Microaggression,1,,1.0,,,,,1
674,AR,Violence,1,,1.0,,,,,1
674,AR,SelfHarm,1,,1.0,,,,,1
674,AR,Insult,1,,1.0,,,,,1
674,AR,SexualContent,1,,1.0,,,,,1
577,AR,Toxicity,5,5.0,,,,,,5
577,AR,IdentityAttack,1,1.0,,,,,,1
577,AR,Bias,1,1.0,,,,,,1
577,AR,Microaggression,1,1.0,,,,,,1
577,AR,Violence,3,3.0,,,,,,3
577,AR,SelfHarm,3,1.0,,,,,,1
577,AR,Insult,1,1.0,,,,,,1
577,AR,SexualContent,1,1.0,,,,,,1
625,AR,Toxicity,1,,,,,,,1
625,AR,IdentityAttack,1,,,,,,,1
625,AR,Bias,1,,,,,,,1
625,AR,Microaggression,1,,,,,,,1
625,AR,Violence,1,,,,,,,1
625,AR,SelfHarm,1,,,,,,,1
625,AR,Insult,1,,,,,,,1
625,AR,SexualContent,1,,,,,,,1
650,AR,Toxicity,2,1.0,,,,,,1
650,AR,IdentityAttack,1,1.0,,,,,,1
650,AR,Bias,1,1.0,,,,,,1
650,AR,Microaggression,1,1.0,,,,,,1
650,AR,Violence,1,1.0,,,,,,1
650,AR,SelfHarm,1,1.0,,,,,,1
650,AR,Insult,1,1.0,,,,,,1
650,AR,SexualContent,1,1.0,,,,,,1
812,AR,Toxicity,1,,,,,,,1
812,AR,IdentityAttack,1,,,,,,,1
812,AR,Bias,1,,,,,,,1
812,AR,Microaggression,1,,,,,,,1
812,AR,Violence,1,,,,,,,1
812,AR,SelfHarm,1,,,,,,,1
812,AR,Insult,1,,,,,,,1
812,AR,SexualContent,1,,,,,,,1
325,AR,Toxicity,2,3.0,,,,,,3
325,AR,IdentityAttack,3,3.0,,,,,,3
325,AR,Bias,1,3.0,,,,,,3
325,AR,Microaggression,3,3.0,,,,,,3
325,AR,Violence,1,1.0,,,,,,1
325,AR,SelfHarm,1,1.0,,,,,,1
325,AR,Insult,3,3.0,,,,,,3
325,AR,SexualContent,1,1.0,,,,,,1
143,AR,Toxicity,3,5.0,,,,,,3
143,AR,IdentityAttack,1,3.0,,,,,,1
143,AR,Bias,1,3.0,,,,,,1
143,AR,Microaggression,1,3.0,,,,,,1
143,AR,Violence,1,3.0,,,,,,1
143,AR,SelfHarm,1,1.0,,,,,,1
143,AR,Insult,3,3.0,,,,,,3
143,AR,SexualContent,1,1.0,,,,,,1
959,AR,Toxicity,1,1.0,,,,,,1
959,AR,IdentityAttack,1,1.0,,,,,,1
959,AR,Bias,1,1.0,,,,,,1
959,AR,Microaggression,1,1.0,,,,,,1
959,AR,Violence,1,1.0,,,,,,1
959,AR,SelfHarm,1,1.0,,,,,,1
959,AR,Insult,1,1.0,,,,,,1
959,AR,SexualContent,1,1.0,,,,,,1
799,AR,Toxicity,2,2.0,,,,,,1
799,AR,IdentityAttack,1,1.0,,,,,,1
799,AR,Bias,1,1.0,,,,,,1
799,AR,Microaggression,1,1.0,,,,,,1
799,AR,Violence,3,1.0,,,,,,1
799,AR,SelfHarm,1,1.0,,,,,,1
799,AR,Insult,1,1.0,,,,,,1
799,AR,SexualContent,1,1.0,,,,,,1
450,AR,Toxicity,2,3.0,,,,,,3
450,AR,IdentityAttack,1,3.0,,,,,,1
450,AR,Bias,1,3.0,,,,,,1
450,AR,Microaggression,1,3.0,,,,,,1
450,AR,Violence,1,1.0,,,,,,1
450,AR,SelfHarm,1,1.0,,,,,,1
450,AR,Insult,3,3.0,,,,,,3
450,AR,SexualContent,1,1.0,,,,,,1
412,AR,Toxicity,3,,,,,,,3
412,AR,IdentityAttack,1,,,,,,,1
412,AR,Bias,1,,,,,,,1
412,AR,Microaggression,1,,,,,,,1
412,AR,Violence,1,,,,,,,3
412,AR,SelfHarm,1,,,,,,,1
412,AR,Insult,3,,,,,,,1
412,AR,SexualContent,3,,,,,,,1
1013,AR,Toxicity,3,3.0,,,,,,3
1013,AR,IdentityAttack,3,3.0,,,,,,3
1013,AR,Bias,3,3.0,,,,,,3
1013,AR,Microaggression,3,3.0,,,,,,3
1013,AR,Violence,1,1.0,,,,,,1
