index,language,metric,human,QWEN_25_7B,checkpoint-100_QWEN_25_7B,checkpoint-200_QWEN_25_7B
990,AR,Toxicity,1,2.0,1.0,1
990,AR,IdentityAttack,1,2.0,1.0,1
990,AR,Bias,1,1.0,1.0,1
990,AR,Microaggression,1,1.0,1.0,1
990,AR,Violence,1,1.0,1.0,1
990,AR,SelfHarm,1,1.0,1.0,1
990,AR,Insult,1,1.0,1.0,1
990,AR,SexualContent,1,1.0,1.0,1
530,AR,Toxicity,3,5.0,5.0,5
530,AR,IdentityAttack,1,3.0,3.0,3
530,AR,Bias,1,3.0,3.0,3
530,AR,Microaggression,1,3.0,1.0,1
530,AR,Violence,3,3.0,1.0,1
530,AR,SelfHarm,1,1.0,1.0,1
530,AR,Insult,3,3.0,3.0,3
530,AR,SexualContent,3,3.0,3.0,3
326,AR,Toxicity,2,3.0,2.0,2
326,AR,IdentityAttack,1,2.0,1.0,1
326,AR,Bias,1,1.0,1.0,1
326,AR,Microaggression,1,1.0,1.0,1
326,AR,Violence,1,1.0,1.0,1
326,AR,SelfHarm,1,1.0,1.0,1
326,AR,Insult,3,2.0,2.0,2
326,AR,SexualContent,1,1.0,1.0,1
428,AR,Toxicity,3,5.0,3.0,3
428,AR,IdentityAttack,1,3.0,1.0,1
428,AR,Bias,1,3.0,1.0,1
428,AR,Microaggression,2,3.0,1.0,1
428,AR,Violence,1,3.0,1.0,1
428,AR,SelfHarm,1,1.0,1.0,1
428,AR,Insult,3,3.0,3.0,3
428,AR,SexualContent,3,3.0,3.0,1
785,AR,Toxicity,2,3.0,1.0,3
785,AR,IdentityAttack,1,3.0,1.0,1
785,AR,Bias,1,3.0,1.0,1
785,AR,Microaggression,1,3.0,1.0,1
785,AR,Violence,1,1.0,1.0,1
785,AR,SelfHarm,1,1.0,1.0,1
785,AR,Insult,1,3.0,1.0,3
785,AR,SexualContent,1,1.0,1.0,1
336,AR,Toxicity,4,5.0,5.0,4
336,AR,IdentityAttack,3,3.0,3.0,3
336,AR,Bias,1,3.0,3.0,3
336,AR,Microaggression,3,3.0,1.0,1
336,AR,Violence,3,3.0,3.0,3
336,AR,SelfHarm,1,1.0,1.0,1
336,AR,Insult,3,3.0,3.0,3
336,AR,SexualContent,1,1.0,1.0,1
439,AR,Toxicity,3,5.0,3.0,5
439,AR,IdentityAttack,1,1.0,1.0,1
439,AR,Bias,1,1.0,1.0,1
439,AR,Microaggression,1,1.0,1.0,1
439,AR,Violence,1,1.0,1.0,1
439,AR,SelfHarm,1,1.0,1.0,1
439,AR,Insult,3,1.0,1.0,1
439,AR,SexualContent,3,3.0,3.0,3
246,AR,Toxicity,3,3.0,3.0,3
246,AR,IdentityAttack,1,3.0,1.0,1
246,AR,Bias,3,3.0,1.0,1
246,AR,Microaggression,2,3.0,1.0,1
246,AR,Violence,1,3.0,1.0,1
246,AR,SelfHarm,1,1.0,1.0,1
246,AR,Insult,3,3.0,3.0,3
